County,Year,Population,Index Count,Violent Count,Property Count,Firearm Count
Delaware,2007,45894,848,91,757,8
Dutchess,2007,296416,6421,895,5526,167
Erie,2007,914914,33249,4541,28708,1231
Essex,2007,37259,540,80,460,2
Franklin,2007,50805,997,145,852,13
Fulton,2007,55242,1615,132,1483,14
Genesee,2007,58342,1441,87,1354,6
Greene,2007,49912,1140,176,964,5
Hamilton,2007,5117,54,2,52,0
Herkimer,2007,63007,1191,177,1014,8
Jefferson,2007,114354,2535,288,2247,17
Kings,2007,2515380,59321,17526,41795,0
Lewis,2007,26568,409,65,344,2
Livingston,2007,63964,1561,61,1500,7
Madison,2007,70109,1434,74,1360,4
Monroe,2007,728081,25278,2956,22322,962
Montgomery,2007,48895,724,118,606,4
Nassau,2007,1320440,20020,2341,17679,398
New York,2007,1611158,55098,10055,45043,0
Niagara,2007,215039,6955,763,6192,104
Oneida,2007,233118,6915,700,6215,126
Onondaga,2007,455272,13260,1815,11445,380
Ontario,2007,104638,1814,99,1715,8
Orange,2007,380352,8781,1042,7739,118
Orleans,2007,42956,1091,91,1000,8
Oswego,2007,122810,2641,160,2481,18
Otsego,2007,62542,1185,100,1085,6
Putnam,2007,100963,983,71,912,1
